[WARNING] [TerrainFlicker] #12 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=63.070 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-2 colliderWindow=-6..-3, -5..-2 pendingCritical=0 pendingTotal=8 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4364.1..-2300.3 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #13 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=63.836 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=7 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4432.6..-2368.8 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #14 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=64.589 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=8 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4433.8..-2369.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #15 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=65.348 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=8 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4433.8..-2369.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #16 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=66.104 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=9 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4433.8..-2369.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #17 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=67.322 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=8 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4433.8..-2369.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #18 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=68.074 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=9 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4433.8..-2369.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #19 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=68.824 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=9 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4433.8..-2369.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #20 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=69.575 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=8 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4433.8..-2369.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
[WARNING] [TerrainFlicker] #21 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=70.493 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=684 coverage='visible terrain covered' visibleWindow=-6..-4, -5..-3 targetMaterializedWindow=-8..0, -8..1 targetVisualWindow=-8..0, -8..1 appliedVisualWindow=-8..0, -8..1 appliedColliderWindow=-6..-3, -5..-3 colliderWindow=-6..-3, -5..-3 pendingCritical=0 pendingTotal=9 dirty=False materializationInFlight=False startupReady=True camera=-4875..-3477.3, -4433.8..-2369.9 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 9121
