[WARNING] [TerrainFlicker] #10 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1616.513 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3479.3..4923.1, -2509..-365.5 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #11 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1617.264 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #12 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1618.024 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #13 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1618.782 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #14 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1619.536 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #15 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1620.287 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #16 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1621.047 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #17 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1621.805 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #18 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1622.559 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #19 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1623.313 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
